business_id,name,Food Score,Service Score,Environment Score,Variety Score,Music Score,Drink Score,Sauce Score,Stars,Review_Count,address,Price
AQ,Ichiban Buffet 2,-0.061666667,0.146428571,0.338347289,0.216326531,0.136363636,0.055844156,0.056547619,2.5,29,735 N Courtenay Pkwy,2
AR,Ichiban Buffet 3,0.140329097,-0.028378378,0.5,0.328839286,0.136363636,0.05,-0.042708333,3,481,5269 W Irlo Bronson Memorial Hwy,2
AS,Ichigo Ichie Buffet,0.17405765,0.356944444,0.2,0.320011338,-0.45,0.055844156,0.056547619,3,72,3611 S Orlando Dr,2
AT,Izziban Sushi And Korean BBQ,0.320308059,0.330679093,0.40719697,0.337430268,0.221428571,0.124922405,0.084404762,3.5,818,5310 E Colonial Dr,2
AU,King Buffet,0.1,0,0,0.166666667,0.136363636,0.055844156,0.056547619,2.5,27,2157 E Semoran Blvd,1
AV,Koywan Hibachi Buffet,0.126866883,0.005,0.555555556,0.306169562,0.136363636,0.003333333,0.187142857,3,283,"945 W State Rd 436, Ste 1179",2
AW,La China Blue,0.193333333,0.2,0.338347289,0.232857143,0.136363636,0.055844156,0.1125,3.5,39,3749 S Kirkman Rd,1
AX,Lai Lai Chinese Cuisine & Sushi Bar,0.185,0.442857143,-0.2,0.254166667,0.136363636,0,0,4,67,"7400 Southland Blvd, Ste 116",2
AY,Latitude & Longitude,0.433333333,0.8,0.338347289,0.53125,0.136363636,0.055844156,0.056547619,4,28,8701 World Center Drive,2
AZ,Mandolin's,0.025,-0.2,0.338347289,0.166666667,0.136363636,-0.25,0,2.5,12,2900 Parkway Blvd,2
BA,Mei Asian China Buffet,-0.029390175,-0.143181818,0.6,0.225,0.136363636,-0.5,0.056547619,2,133,"8255 International Dr, Ste 126",2
BB,Mikado Japanese Seafood Buffet,0.201369042,0.385971787,0.288333333,0.30276755,0.136363636,-0.033333333,0.168303571,4,335,"851 S State Rd 434, Ste 1130-1170",2
BC,Moghul Indian Cuisine,0.211884921,0.424437989,0.458333333,0.213898728,0,0.033333333,0.110606061,4,280,401 N Semoran Blvd,2
BD,Nine Spices Hot Pot,0.274042846,0.382793466,0.166666667,0.313952119,0.3,0.261842105,0.32065565,4,492,5320 S Kirkman Rd,2
BE,Oreganatta,-0.3,0.394166667,0.7,0.136520737,0.233333333,0.044444444,-0.020833333,2.5,75,6320 International Dr,1
BF,Phil-Asian Foodmart,0.4,0.7,0.338347289,0.4,0.136363636,0.055844156,0.056547619,4.5,10,2650 N Orange Blossom Trl,1
BG,Ponderosa Steakhouse,0.360416667,0.866666667,0.338347289,0.294537815,0.136363636,0.055844156,0.056547619,3.5,21,7598 W Irlo Bronson Memorial Hwy,2
BH,Rosen Inn Lake Buena Vista,0.223913043,-0.053735632,0.338347289,0.277564103,0.136363636,-0.033333333,0.056547619,2.5,140,8442 Palm Pkwy,2
BI,Saffron Indian Cuisine 1,0.343891713,0.514368999,0.465492424,0.330488347,0.128571429,0.186347926,0.235833333,4.5,834,7724 W Sand Lake Rd,2
BJ,Saffron Indian Cuisine 2,0.214634146,0.2275,0.338347289,0.175446429,0.136363636,-0.025,0.353571429,3.5,70,"16745 Cagan Crossings Blvd, Ste 103@104",2
BK,Savannah Bar and Grille,0.166666667,0.283333333,0.338347289,0.125,0.136363636,0.055844156,0.056547619,2.5,9,3011 Maingate Ln,2
BL,SeaWorld Orlando,0.116323024,0.053897849,0.301185771,0.218069728,0.12,0.208695652,0,3.5,1082,7007 SeaWorld Dr,4
BM,Spice Indian Grill,0.254098361,0.437745098,0.6,0.348,0.136363636,0,0.353333333,4.5,88,"4498 N Alafaya Trl, Ste 306",2
BN,Texas de Brazil,0.4345632,0.420197838,0.455808081,0.279169264,0.5,0.140909091,0.453703704,4,825,"5259 International Dr, Ste F1",3
BO,The Crystal Palace,0.255775779,0.171025641,0.628846154,0.300277979,0.136363636,0.066666667,0,3.5,565,1365 W Monorail Way,3
BP,The Garden Gallery,0.208888889,-0.1,0.3,0.196753247,0.136363636,0.055844156,0.056547619,3.5,19,1950 Magnolia Palm,2
BQ,The Knife - Lake Buena Vista,0.13030925,0.23160066,0.480952381,0.343103818,0.201893939,0.121924603,0.071428571,3,462,12501 State Rd 535,3
BR,Tony's Brazilian Grill,0.309166667,0.429166667,0.341666667,0.19375,0.136363636,0.183333333,0,4,53,5159 International Dr,2
BS,Tropical Cabana,0.445645646,0.554166667,0.15,0.594230769,0.136363636,0.169444444,0.291666667,5,148,1875 Central Florida Pkwy,1
BT,Villa de Flora,0.282083333,0.423550725,0.73125,0.355281385,0.187272727,0.055844156,0.333333333,3.5,138,6000 W Osceola Pkwy,3
